"","subject.x","session","trial","condition","transition_category","n","transition_binary"
"1","Arko3",1,1,"gazing","Face-Hand",0,0
"2","Arko3",1,1,"gazing","Face-Correct Bowl",0,0
"3","Arko3",1,1,"gazing","Hand-Correct Bowl",0,0
"4","Arko3",1,2,"gazing","Face-Hand",0,0
"5","Arko3",1,2,"gazing","Face-Correct Bowl",0,0
"6","Arko3",1,2,"gazing","Hand-Correct Bowl",0,0
"7","Arko3",1,3,"control","Face-Hand",0,0
"8","Arko3",1,3,"control","Face-Correct Bowl",0,0
"9","Arko3",1,3,"control","Hand-Correct Bowl",0,0
"10","Arko3",1,4,"gazing","Face-Hand",0,0
"11","Arko3",1,4,"gazing","Face-Correct Bowl",0,0
"12","Arko3",1,4,"gazing","Hand-Correct Bowl",0,0
"13","Arko3",1,5,"gazing","Face-Hand",0,0
"14","Arko3",1,5,"gazing","Face-Correct Bowl",0,0
"15","Arko3",1,5,"gazing","Hand-Correct Bowl",0,0
"16","Arko3",1,6,"gazing","Face-Hand",0,0
"17","Arko3",1,6,"gazing","Face-Correct Bowl",0,0
"18","Arko3",1,6,"gazing","Hand-Correct Bowl",0,0
"19","Arko3",1,7,"gazing","Face-Hand",0,0
"20","Arko3",1,7,"gazing","Face-Correct Bowl",0,0
"21","Arko3",1,7,"gazing","Hand-Correct Bowl",0,0
"22","Arko3",1,8,"control","Face-Hand",0,0
"23","Arko3",1,8,"control","Face-Correct Bowl",0,0
"24","Arko3",1,8,"control","Hand-Correct Bowl",0,0
"25","Arko3",1,9,"pointing","Face-Hand",0,0
"26","Arko3",1,9,"pointing","Face-Correct Bowl",0,0
"27","Arko3",1,9,"pointing","Hand-Correct Bowl",0,0
"28","Arko3",1,10,"pointing","Face-Hand",0,0
"29","Arko3",1,10,"pointing","Face-Correct Bowl",0,0
"30","Arko3",1,10,"pointing","Hand-Correct Bowl",0,0
"31","Arko3",1,11,"pointing","Face-Hand",0,0
"32","Arko3",1,11,"pointing","Face-Correct Bowl",0,0
"33","Arko3",1,11,"pointing","Hand-Correct Bowl",0,0
"34","Arko3",1,12,"pointing","Face-Hand",0,0
"35","Arko3",1,12,"pointing","Face-Correct Bowl",0,0
"36","Arko3",1,12,"pointing","Hand-Correct Bowl",0,0
"37","Arko3",1,13,"control","Face-Hand",0,0
"38","Arko3",1,13,"control","Face-Correct Bowl",0,0
"39","Arko3",1,13,"control","Hand-Correct Bowl",0,0
"40","Arko3",1,14,"pointing","Face-Hand",0,0
"41","Arko3",1,14,"pointing","Face-Correct Bowl",0,0
"42","Arko3",1,14,"pointing","Hand-Correct Bowl",2,1
"43","Arko3",1,15,"pointing","Face-Hand",0,0
"44","Arko3",1,15,"pointing","Face-Correct Bowl",0,0
"45","Arko3",1,15,"pointing","Hand-Correct Bowl",0,0
"46","Arko3",2,1,"throwing","Face-Hand",1,1
"47","Arko3",2,1,"throwing","Face-Correct Bowl",0,0
"48","Arko3",2,1,"throwing","Hand-Correct Bowl",0,0
"49","Arko3",2,2,"throwing","Face-Hand",1,1
"50","Arko3",2,2,"throwing","Face-Correct Bowl",0,0
"51","Arko3",2,2,"throwing","Hand-Correct Bowl",0,0
"52","Arko3",2,3,"control","Face-Hand",0,0
"53","Arko3",2,3,"control","Face-Correct Bowl",0,0
"54","Arko3",2,3,"control","Hand-Correct Bowl",0,0
"55","Arko3",2,4,"throwing","Face-Hand",0,0
"56","Arko3",2,4,"throwing","Face-Correct Bowl",0,0
"57","Arko3",2,4,"throwing","Hand-Correct Bowl",0,0
"58","Arko3",2,5,"throwing","Face-Hand",0,0
"59","Arko3",2,5,"throwing","Face-Correct Bowl",0,0
"60","Arko3",2,5,"throwing","Hand-Correct Bowl",0,0
"61","Arko3",2,6,"throwing","Face-Hand",0,0
"62","Arko3",2,6,"throwing","Face-Correct Bowl",0,0
"63","Arko3",2,6,"throwing","Hand-Correct Bowl",0,0
"64","Arko3",2,7,"throwing","Face-Hand",0,0
"65","Arko3",2,7,"throwing","Face-Correct Bowl",0,0
"66","Arko3",2,7,"throwing","Hand-Correct Bowl",0,0
"67","Arko3",2,8,"control","Face-Hand",0,0
"68","Arko3",2,8,"control","Face-Correct Bowl",0,0
"69","Arko3",2,8,"control","Hand-Correct Bowl",0,0
"70","Arko3",2,9,"p+g","Face-Hand",0,0
"71","Arko3",2,9,"p+g","Face-Correct Bowl",0,0
"72","Arko3",2,9,"p+g","Hand-Correct Bowl",0,0
"73","Arko3",2,10,"p+g","Face-Hand",0,0
"74","Arko3",2,10,"p+g","Face-Correct Bowl",0,0
"75","Arko3",2,10,"p+g","Hand-Correct Bowl",0,0
"76","Arko3",2,11,"p+g","Face-Hand",0,0
"77","Arko3",2,11,"p+g","Face-Correct Bowl",0,0
"78","Arko3",2,11,"p+g","Hand-Correct Bowl",2,1
"79","Arko3",2,12,"p+g","Face-Hand",0,0
"80","Arko3",2,12,"p+g","Face-Correct Bowl",0,0
"81","Arko3",2,12,"p+g","Hand-Correct Bowl",0,0
"82","Arko3",2,13,"control","Face-Hand",0,0
"83","Arko3",2,13,"control","Face-Correct Bowl",0,0
"84","Arko3",2,13,"control","Hand-Correct Bowl",0,0
"85","Arko3",2,14,"p+g","Face-Hand",0,0
"86","Arko3",2,14,"p+g","Face-Correct Bowl",0,0
"87","Arko3",2,14,"p+g","Hand-Correct Bowl",0,0
"88","Arko3",2,15,"p+g","Face-Hand",1,1
"89","Arko3",2,15,"p+g","Face-Correct Bowl",0,0
"90","Arko3",2,15,"p+g","Hand-Correct Bowl",0,0
"91","Diara",1,1,"throwing","Face-Hand",0,0
"92","Diara",1,1,"throwing","Face-Correct Bowl",0,0
"93","Diara",1,1,"throwing","Hand-Correct Bowl",0,0
"94","Diara",1,2,"throwing","Face-Hand",0,0
"95","Diara",1,2,"throwing","Face-Correct Bowl",0,0
"96","Diara",1,2,"throwing","Hand-Correct Bowl",0,0
"97","Diara",1,3,"control","Face-Hand",0,0
"98","Diara",1,3,"control","Face-Correct Bowl",0,0
"99","Diara",1,3,"control","Hand-Correct Bowl",0,0
"100","Diara",1,4,"throwing","Face-Hand",1,1
"101","Diara",1,4,"throwing","Face-Correct Bowl",0,0
"102","Diara",1,4,"throwing","Hand-Correct Bowl",2,1
"103","Diara",1,5,"throwing","Face-Hand",0,0
"104","Diara",1,5,"throwing","Face-Correct Bowl",0,0
"105","Diara",1,5,"throwing","Hand-Correct Bowl",2,1
"106","Diara",1,6,"throwing","Face-Hand",1,1
"107","Diara",1,6,"throwing","Face-Correct Bowl",0,0
"108","Diara",1,6,"throwing","Hand-Correct Bowl",0,0
"109","Diara",1,7,"throwing","Face-Hand",1,1
"110","Diara",1,7,"throwing","Face-Correct Bowl",0,0
"111","Diara",1,7,"throwing","Hand-Correct Bowl",0,0
"112","Diara",1,8,"control","Face-Hand",0,0
"113","Diara",1,8,"control","Face-Correct Bowl",0,0
"114","Diara",1,8,"control","Hand-Correct Bowl",0,0
"115","Diara",1,9,"p+g","Face-Hand",0,0
"116","Diara",1,9,"p+g","Face-Correct Bowl",0,0
"117","Diara",1,9,"p+g","Hand-Correct Bowl",1,1
"118","Diara",1,10,"p+g","Face-Hand",0,0
"119","Diara",1,10,"p+g","Face-Correct Bowl",0,0
"120","Diara",1,10,"p+g","Hand-Correct Bowl",0,0
"121","Diara",1,11,"p+g","Face-Hand",0,0
"122","Diara",1,11,"p+g","Face-Correct Bowl",0,0
"123","Diara",1,11,"p+g","Hand-Correct Bowl",0,0
"124","Diara",1,12,"p+g","Face-Hand",0,0
"125","Diara",1,12,"p+g","Face-Correct Bowl",0,0
"126","Diara",1,12,"p+g","Hand-Correct Bowl",0,0
"127","Diara",1,13,"control","Face-Hand",0,0
"128","Diara",1,13,"control","Face-Correct Bowl",0,0
"129","Diara",1,13,"control","Hand-Correct Bowl",0,0
"130","Diara",1,14,"p+g","Face-Hand",0,0
"131","Diara",1,14,"p+g","Face-Correct Bowl",0,0
"132","Diara",1,14,"p+g","Hand-Correct Bowl",0,0
"133","Diara",1,15,"p+g","Face-Hand",0,0
"134","Diara",1,15,"p+g","Face-Correct Bowl",1,1
"135","Diara",1,15,"p+g","Hand-Correct Bowl",1,1
"136","Diara",2,1,"p+g","Face-Hand",0,0
"137","Diara",2,1,"p+g","Face-Correct Bowl",1,1
"138","Diara",2,1,"p+g","Hand-Correct Bowl",0,0
"139","Diara",2,2,"p+g","Face-Hand",0,0
"140","Diara",2,2,"p+g","Face-Correct Bowl",0,0
"141","Diara",2,2,"p+g","Hand-Correct Bowl",2,1
"142","Diara",2,3,"control","Face-Hand",0,0
"143","Diara",2,3,"control","Face-Correct Bowl",0,0
"144","Diara",2,3,"control","Hand-Correct Bowl",0,0
"145","Diara",2,4,"p+g","Face-Hand",0,0
"146","Diara",2,4,"p+g","Face-Correct Bowl",0,0
"147","Diara",2,4,"p+g","Hand-Correct Bowl",0,0
"148","Diara",2,5,"p+g","Face-Hand",1,1
"149","Diara",2,5,"p+g","Face-Correct Bowl",1,1
"150","Diara",2,5,"p+g","Hand-Correct Bowl",0,0
"151","Diara",2,6,"p+g","Face-Hand",0,0
"152","Diara",2,6,"p+g","Face-Correct Bowl",0,0
"153","Diara",2,6,"p+g","Hand-Correct Bowl",1,1
"154","Diara",2,7,"p+g","Face-Hand",0,0
"155","Diara",2,7,"p+g","Face-Correct Bowl",0,0
"156","Diara",2,7,"p+g","Hand-Correct Bowl",1,1
"157","Diara",2,8,"control","Face-Hand",0,0
"158","Diara",2,8,"control","Face-Correct Bowl",0,0
"159","Diara",2,8,"control","Hand-Correct Bowl",0,0
"160","Diara",2,9,"pointing","Face-Hand",0,0
"161","Diara",2,9,"pointing","Face-Correct Bowl",0,0
"162","Diara",2,9,"pointing","Hand-Correct Bowl",0,0
"163","Diara",2,10,"pointing","Face-Hand",0,0
"164","Diara",2,10,"pointing","Face-Correct Bowl",0,0
"165","Diara",2,10,"pointing","Hand-Correct Bowl",0,0
"166","Diara",2,11,"pointing","Face-Hand",0,0
"167","Diara",2,11,"pointing","Face-Correct Bowl",0,0
"168","Diara",2,11,"pointing","Hand-Correct Bowl",0,0
"169","Diara",2,12,"pointing","Face-Hand",0,0
"170","Diara",2,12,"pointing","Face-Correct Bowl",0,0
"171","Diara",2,12,"pointing","Hand-Correct Bowl",3,1
"172","Diara",2,13,"control","Face-Hand",0,0
"173","Diara",2,13,"control","Face-Correct Bowl",0,0
"174","Diara",2,13,"control","Hand-Correct Bowl",0,0
"175","Diara",2,14,"pointing","Face-Hand",0,0
"176","Diara",2,14,"pointing","Face-Correct Bowl",1,1
"177","Diara",2,14,"pointing","Hand-Correct Bowl",0,0
"178","Diara",2,15,"pointing","Face-Hand",0,0
"179","Diara",2,15,"pointing","Face-Correct Bowl",0,0
"180","Diara",2,15,"pointing","Hand-Correct Bowl",0,0
"181","Jimi",1,1,"p+g","Face-Hand",0,0
"182","Jimi",1,1,"p+g","Face-Correct Bowl",0,0
"183","Jimi",1,1,"p+g","Hand-Correct Bowl",0,0
"184","Jimi",1,2,"p+g","Face-Hand",1,1
"185","Jimi",1,2,"p+g","Face-Correct Bowl",1,1
"186","Jimi",1,2,"p+g","Hand-Correct Bowl",1,1
"187","Jimi",1,3,"control","Face-Hand",0,0
"188","Jimi",1,3,"control","Face-Correct Bowl",0,0
"189","Jimi",1,3,"control","Hand-Correct Bowl",0,0
"190","Jimi",1,4,"p+g","Face-Hand",1,1
"191","Jimi",1,4,"p+g","Face-Correct Bowl",0,0
"192","Jimi",1,4,"p+g","Hand-Correct Bowl",0,0
"193","Jimi",1,5,"p+g","Face-Hand",0,0
"194","Jimi",1,5,"p+g","Face-Correct Bowl",0,0
"195","Jimi",1,5,"p+g","Hand-Correct Bowl",0,0
"196","Jimi",1,6,"p+g","Face-Hand",0,0
"197","Jimi",1,6,"p+g","Face-Correct Bowl",0,0
"198","Jimi",1,6,"p+g","Hand-Correct Bowl",0,0
"199","Jimi",1,7,"p+g","Face-Hand",0,0
"200","Jimi",1,7,"p+g","Face-Correct Bowl",0,0
"201","Jimi",1,7,"p+g","Hand-Correct Bowl",0,0
"202","Jimi",1,8,"control","Face-Hand",0,0
"203","Jimi",1,8,"control","Face-Correct Bowl",0,0
"204","Jimi",1,8,"control","Hand-Correct Bowl",0,0
"205","Jimi",1,9,"gazing","Face-Hand",0,0
"206","Jimi",1,9,"gazing","Face-Correct Bowl",0,0
"207","Jimi",1,9,"gazing","Hand-Correct Bowl",0,0
"208","Jimi",1,10,"gazing","Face-Hand",0,0
"209","Jimi",1,10,"gazing","Face-Correct Bowl",0,0
"210","Jimi",1,10,"gazing","Hand-Correct Bowl",0,0
"211","Jimi",1,11,"gazing","Face-Hand",0,0
"212","Jimi",1,11,"gazing","Face-Correct Bowl",0,0
"213","Jimi",1,11,"gazing","Hand-Correct Bowl",0,0
"214","Jimi",1,12,"gazing","Face-Hand",0,0
"215","Jimi",1,12,"gazing","Face-Correct Bowl",0,0
"216","Jimi",1,12,"gazing","Hand-Correct Bowl",0,0
"217","Jimi",1,13,"control","Face-Hand",0,0
"218","Jimi",1,13,"control","Face-Correct Bowl",0,0
"219","Jimi",1,13,"control","Hand-Correct Bowl",0,0
"220","Jimi",1,14,"gazing","Face-Hand",0,0
"221","Jimi",1,14,"gazing","Face-Correct Bowl",0,0
"222","Jimi",1,14,"gazing","Hand-Correct Bowl",0,0
"223","Jimi",1,15,"gazing","Face-Hand",0,0
"224","Jimi",1,15,"gazing","Face-Correct Bowl",0,0
"225","Jimi",1,15,"gazing","Hand-Correct Bowl",0,0
"226","Jimi",2,1,"pointing","Face-Hand",0,0
"227","Jimi",2,1,"pointing","Face-Correct Bowl",1,1
"228","Jimi",2,1,"pointing","Hand-Correct Bowl",0,0
"229","Jimi",2,2,"pointing","Face-Hand",1,1
"230","Jimi",2,2,"pointing","Face-Correct Bowl",0,0
"231","Jimi",2,2,"pointing","Hand-Correct Bowl",0,0
"232","Jimi",2,3,"control","Face-Hand",0,0
"233","Jimi",2,3,"control","Face-Correct Bowl",0,0
"234","Jimi",2,3,"control","Hand-Correct Bowl",0,0
"235","Jimi",2,4,"pointing","Face-Hand",0,0
"236","Jimi",2,4,"pointing","Face-Correct Bowl",0,0
"237","Jimi",2,4,"pointing","Hand-Correct Bowl",0,0
"238","Jimi",2,5,"pointing","Face-Hand",0,0
"239","Jimi",2,5,"pointing","Face-Correct Bowl",0,0
"240","Jimi",2,5,"pointing","Hand-Correct Bowl",0,0
"241","Jimi",2,6,"pointing","Face-Hand",0,0
"242","Jimi",2,6,"pointing","Face-Correct Bowl",0,0
"243","Jimi",2,6,"pointing","Hand-Correct Bowl",0,0
"244","Jimi",2,7,"pointing","Face-Hand",1,1
"245","Jimi",2,7,"pointing","Face-Correct Bowl",0,0
"246","Jimi",2,7,"pointing","Hand-Correct Bowl",0,0
"247","Jimi",2,8,"control","Face-Hand",0,0
"248","Jimi",2,8,"control","Face-Correct Bowl",0,0
"249","Jimi",2,8,"control","Hand-Correct Bowl",0,0
"250","Jimi",2,9,"throwing","Face-Hand",0,0
"251","Jimi",2,9,"throwing","Face-Correct Bowl",0,0
"252","Jimi",2,9,"throwing","Hand-Correct Bowl",0,0
"253","Jimi",2,10,"throwing","Face-Hand",0,0
"254","Jimi",2,10,"throwing","Face-Correct Bowl",0,0
"255","Jimi",2,10,"throwing","Hand-Correct Bowl",0,0
"256","Jimi",2,11,"throwing","Face-Hand",0,0
"257","Jimi",2,11,"throwing","Face-Correct Bowl",0,0
"258","Jimi",2,11,"throwing","Hand-Correct Bowl",0,0
"259","Jimi",2,12,"throwing","Face-Hand",0,0
"260","Jimi",2,12,"throwing","Face-Correct Bowl",0,0
"261","Jimi",2,12,"throwing","Hand-Correct Bowl",0,0
"262","Jimi",2,13,"control","Face-Hand",0,0
"263","Jimi",2,13,"control","Face-Correct Bowl",0,0
"264","Jimi",2,13,"control","Hand-Correct Bowl",0,0
"265","Jimi",2,14,"throwing","Face-Hand",0,0
"266","Jimi",2,14,"throwing","Face-Correct Bowl",0,0
"267","Jimi",2,14,"throwing","Hand-Correct Bowl",0,0
"268","Jimi",2,15,"throwing","Face-Hand",0,0
"269","Jimi",2,15,"throwing","Face-Correct Bowl",0,0
"270","Jimi",2,15,"throwing","Hand-Correct Bowl",0,0
"271","Panda",1,1,"pointing","Face-Hand",2,1
"272","Panda",1,1,"pointing","Face-Correct Bowl",0,0
"273","Panda",1,1,"pointing","Hand-Correct Bowl",2,1
"274","Panda",1,2,"pointing","Face-Hand",1,1
"275","Panda",1,2,"pointing","Face-Correct Bowl",0,0
"276","Panda",1,2,"pointing","Hand-Correct Bowl",5,1
"277","Panda",1,3,"control","Face-Hand",0,0
"278","Panda",1,3,"control","Face-Correct Bowl",0,0
"279","Panda",1,3,"control","Hand-Correct Bowl",0,0
"280","Panda",1,4,"pointing","Face-Hand",0,0
"281","Panda",1,4,"pointing","Face-Correct Bowl",0,0
"282","Panda",1,4,"pointing","Hand-Correct Bowl",1,1
"283","Panda",1,5,"pointing","Face-Hand",1,1
"284","Panda",1,5,"pointing","Face-Correct Bowl",0,0
"285","Panda",1,5,"pointing","Hand-Correct Bowl",0,0
"286","Panda",1,6,"pointing","Face-Hand",2,1
"287","Panda",1,6,"pointing","Face-Correct Bowl",0,0
"288","Panda",1,6,"pointing","Hand-Correct Bowl",0,0
"289","Panda",1,7,"pointing","Face-Hand",0,0
"290","Panda",1,7,"pointing","Face-Correct Bowl",0,0
"291","Panda",1,7,"pointing","Hand-Correct Bowl",0,0
"292","Panda",1,8,"control","Face-Hand",0,0
"293","Panda",1,8,"control","Face-Correct Bowl",0,0
"294","Panda",1,8,"control","Hand-Correct Bowl",0,0
"295","Panda",1,9,"gazing","Face-Hand",0,0
"296","Panda",1,9,"gazing","Face-Correct Bowl",0,0
"297","Panda",1,9,"gazing","Hand-Correct Bowl",0,0
"298","Panda",1,10,"gazing","Face-Hand",0,0
"299","Panda",1,10,"gazing","Face-Correct Bowl",0,0
"300","Panda",1,10,"gazing","Hand-Correct Bowl",0,0
"301","Panda",1,11,"gazing","Face-Hand",1,1
"302","Panda",1,11,"gazing","Face-Correct Bowl",1,1
"303","Panda",1,11,"gazing","Hand-Correct Bowl",1,1
"304","Panda",1,12,"gazing","Face-Hand",0,0
"305","Panda",1,12,"gazing","Face-Correct Bowl",0,0
"306","Panda",1,12,"gazing","Hand-Correct Bowl",0,0
"307","Panda",1,13,"control","Face-Hand",0,0
"308","Panda",1,13,"control","Face-Correct Bowl",0,0
"309","Panda",1,13,"control","Hand-Correct Bowl",0,0
"310","Panda",1,14,"gazing","Face-Hand",0,0
"311","Panda",1,14,"gazing","Face-Correct Bowl",0,0
"312","Panda",1,14,"gazing","Hand-Correct Bowl",0,0
"313","Panda",1,15,"gazing","Face-Hand",0,0
"314","Panda",1,15,"gazing","Face-Correct Bowl",0,0
"315","Panda",1,15,"gazing","Hand-Correct Bowl",0,0
"316","Panda",2,1,"p+g","Face-Hand",0,0
"317","Panda",2,1,"p+g","Face-Correct Bowl",0,0
"318","Panda",2,1,"p+g","Hand-Correct Bowl",3,1
"319","Panda",2,2,"p+g","Face-Hand",0,0
"320","Panda",2,2,"p+g","Face-Correct Bowl",0,0
"321","Panda",2,2,"p+g","Hand-Correct Bowl",0,0
"322","Panda",2,3,"control","Face-Hand",0,0
"323","Panda",2,3,"control","Face-Correct Bowl",1,1
"324","Panda",2,3,"control","Hand-Correct Bowl",0,0
"325","Panda",2,4,"p+g","Face-Hand",0,0
"326","Panda",2,4,"p+g","Face-Correct Bowl",0,0
"327","Panda",2,4,"p+g","Hand-Correct Bowl",0,0
"328","Panda",2,5,"p+g","Face-Hand",0,0
"329","Panda",2,5,"p+g","Face-Correct Bowl",0,0
"330","Panda",2,5,"p+g","Hand-Correct Bowl",0,0
"331","Panda",2,6,"p+g","Face-Hand",0,0
"332","Panda",2,6,"p+g","Face-Correct Bowl",0,0
"333","Panda",2,6,"p+g","Hand-Correct Bowl",0,0
"334","Panda",2,7,"p+g","Face-Hand",0,0
"335","Panda",2,7,"p+g","Face-Correct Bowl",0,0
"336","Panda",2,7,"p+g","Hand-Correct Bowl",0,0
"337","Panda",2,8,"control","Face-Hand",0,0
"338","Panda",2,8,"control","Face-Correct Bowl",0,0
"339","Panda",2,8,"control","Hand-Correct Bowl",0,0
"340","Panda",2,9,"throwing","Face-Hand",0,0
"341","Panda",2,9,"throwing","Face-Correct Bowl",0,0
"342","Panda",2,9,"throwing","Hand-Correct Bowl",0,0
"343","Panda",2,10,"throwing","Face-Hand",0,0
"344","Panda",2,10,"throwing","Face-Correct Bowl",0,0
"345","Panda",2,10,"throwing","Hand-Correct Bowl",0,0
"346","Panda",2,11,"throwing","Face-Hand",0,0
"347","Panda",2,11,"throwing","Face-Correct Bowl",0,0
"348","Panda",2,11,"throwing","Hand-Correct Bowl",0,0
"349","Panda",2,12,"throwing","Face-Hand",0,0
"350","Panda",2,12,"throwing","Face-Correct Bowl",0,0
"351","Panda",2,12,"throwing","Hand-Correct Bowl",0,0
"352","Panda",2,13,"control","Face-Hand",0,0
"353","Panda",2,13,"control","Face-Correct Bowl",0,0
"354","Panda",2,13,"control","Hand-Correct Bowl",0,0
"355","Panda",2,14,"throwing","Face-Hand",0,0
"356","Panda",2,14,"throwing","Face-Correct Bowl",0,0
"357","Panda",2,14,"throwing","Hand-Correct Bowl",0,0
"358","Panda",2,15,"throwing","Face-Hand",0,0
"359","Panda",2,15,"throwing","Face-Correct Bowl",0,0
"360","Panda",2,15,"throwing","Hand-Correct Bowl",0,0
"361","Juna",1,1,"throwing","Face-Hand",0,0
"362","Juna",1,1,"throwing","Face-Correct Bowl",0,0
"363","Juna",1,1,"throwing","Hand-Correct Bowl",0,0
"364","Juna",1,2,"throwing","Face-Hand",0,0
"365","Juna",1,2,"throwing","Face-Correct Bowl",0,0
"366","Juna",1,2,"throwing","Hand-Correct Bowl",0,0
"367","Juna",1,3,"control","Face-Hand",0,0
